num_hosts_afectados,tipo_evento_cod,bytes_exfiltrados,duracion_seg,privilegios_elevados,severity
2,2,31970,2197,1,1
0,1,0,3057,0,0
9,7,173790,628,1,2
3,8,266889,262,1,3
1,5,0,1960,0,0
4,6,35008,2917,1,1
14,9,221391,2757,0,3
4,8,160064,1905,1,2
9,1,299835,1879,1,3
3,9,59919,2199,1,1
1,1,10673,3126,1,1
8,1,177252,3032,1,2
2,4,0,403,1,0
0,7,0,2148,0,0
3,1,141344,1377,0,2
3,3,128686,2879,0,2
1,3,0,1826,1,0
7,4,50470,3568,1,2
3,9,63081,1562,0,1
3,3,65962,2448,0,2
10,2,214680,399,1,3
2,2,0,3357,1,0
11,2,188799,561,0,3
6,2,52746,1368,1,1
9,6,128598,3017,1,3
3,4,40816,3483,1,1
5,5,72755,1748,1,1
4,8,168882,1750,1,3
10,6,126972,184,1,2
2,2,0,3524,1,0
6,4,57374,69,1,2
4,3,276570,103,0,3
3,8,60682,1709,0,1
10,3,223875,23,0,3
6,2,178742,600,1,2
2,7,93223,2263,0,1
2,4,0,2541,1,0
4,1,161680,1080,0,2
2,7,0,2865,0,0
8,2,229203,2191,0,3
6,8,77884,829,1,2
1,8,74060,2567,0,1
0,4,0,2135,1,0
3,6,184570,2925,1,2
1,6,0,564,1,0
3,6,69090,838,0,1
11,1,33018,1099,1,3
14,3,72042,1235,1,3
6,2,296388,3200,0,3
8,7,255006,2639,0,3
8,1,60046,1963,1,2
1,5,0,1950,1,0
12,7,250014,3190,0,3
13,9,297345,1613,0,3
14,3,75534,818,0,3
9,1,139508,501,1,2
2,7,0,1194,0,0
4,1,153988,2355,0,2
3,1,47644,1700,0,1
4,9,63843,1524,0,3
5,8,39196,1733,0,1
5,7,58476,3509,0,1
1,8,0,3591,1,0
3,1,35676,589,1,3
7,1,288576,420,0,3
0,3,0,887,0,0
5,1,88776,3068,0,1
2,8,93704,1659,1,1
2,1,23822,3110,0,1
9,5,55305,2331,0,3
0,8,0,1995,1,0
4,7,26909,1020,0,1
2,3,0,1245,0,0
2,5,0,540,0,0
5,5,276612,1874,0,3
6,7,244812,1016,1,3
1,4,0,1059,1,0
6,3,55360,151,0,2
1,8,0,2878,0,0
0,8,0,3381,0,0
1,5,24132,1798,1,1
0,1,0,1934,0,0
3,5,11062,3333,0,1
3,9,117771,1846,1,3
6,9,64630,2245,0,2
10,4,142594,1546,0,2
6,2,92261,1856,0,1
2,6,0,1883,1,0
0,8,0,2562,1,0
4,9,69032,2179,1,1
0,1,0,1819,0,0
9,3,276105,282,1,3
12,5,57204,3257,1,3
6,1,230670,3198,0,3
2,8,126592,672,0,2
2,2,40354,1062,0,2
2,6,66286,3504,1,2
2,9,93424,1162,0,1
8,7,117728,2925,0,2
6,7,121383,2830,1,3
14,3,116520,3100,0,3
6,8,170814,67,1,2
0,4,0,1743,0,0
4,1,48600,2040,0,2
4,4,61646,3015,1,1
3,4,198650,815,1,2
4,5,52996,1111,0,2
8,3,98934,655,1,3
3,5,52222,2745,1,1
9,4,83949,3595,0,3
11,3,205719,514,1,3
3,7,32826,846,0,1
3,3,21536,1112,1,1
5,7,67028,3201,0,2
14,3,281259,1610,0,3
2,8,188280,1022,1,2
10,4,166545,1167,1,3
4,1,46041,2157,0,1
9,2,167514,1399,1,2
5,8,27483,514,0,1
8,8,206553,2954,1,3
3,2,71204,1525,1,1
5,6,147800,931,1,2
2,6,0,2625,1,0
4,2,223353,2685,1,3
3,5,65079,566,1,1
2,7,88758,274,1,1
6,9,51390,173,0,2
4,8,65224,2759,1,1
13,1,254001,2256,1,3
4,3,70078,2853,0,2
10,4,153880,2258,1,2
0,2,0,1452,1,0
1,6,0,2126,0,0
1,1,64562,2603,0,1
5,2,81987,1441,0,3
3,1,47913,3295,1,3
4,3,154186,3239,1,2
10,7,63432,2884,1,2
3,2,54770,3572,1,1
0,9,0,1411,0,0
2,3,0,419,1,0
6,1,59399,1748,0,1
5,4,93842,2687,0,1
2,7,0,2807,0,0
6,1,28521,1404,1,1
0,1,0,1060,0,0
4,8,128808,1609,0,2
8,6,243531,2895,0,3
8,4,187050,227,0,2
2,7,83969,1187,1,1
3,8,22619,835,1,1
4,4,37858,2903,1,1
1,6,0,1696,1,0
10,1,118810,321,1,2
9,3,176062,949,1,2
2,6,0,169,0,0
2,2,14476,1717,1,1
1,9,52559,3591,1,1
2,9,0,2046,1,0
3,3,137920,3131,0,2
4,4,43900,2675,0,2
6,2,57814,3179,1,2
9,5,173786,1126,1,2
7,2,294393,3425,0,3
6,4,233280,866,1,3
7,5,37654,1583,0,2
